"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2012030311","20122013","P",2013-06-02,"6","5",3,0,"away win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030312","20122013","P",2013-06-04,"6","5",6,1,"away win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030313","20122013","P",2013-06-06,"5","6",1,2,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030314","20122013","P",2013-06-08,"5","6",0,1,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030231","20122013","P",2013-05-16,"17","16",1,4,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030232","20122013","P",2013-05-18,"17","16",4,1,"away win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030233","20122013","P",2013-05-20,"16","17",1,3,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2012030234","20122013","P",2013-05-24,"16","17",0,2,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2012030235","20122013","P",2013-05-26,"17","16",1,4,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030236","20122013","P",2013-05-28,"16","17",4,3,"away win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2012030237","20122013","P",2013-05-30,"17","16",1,2,"home win OT","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030121","20122013","P",2013-05-02,"9","8",4,2,"away win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2012030122","20122013","P",2013-05-03,"9","8",1,3,"home win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2012030123","20122013","P",2013-05-05,"8","9",1,6,"home win REG","left","Scotiabank Place","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030124","20122013","P",2013-05-07,"8","9",2,3,"home win OT","left","Scotiabank Place","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030125","20122013","P",2013-05-09,"9","8",6,1,"away win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2012030151","20122013","P",2013-05-01,"30","16",1,2,"home win OT","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030152","20122013","P",2013-05-04,"30","16",2,5,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030153","20122013","P",2013-05-05,"16","30",2,3,"home win OT","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030154","20122013","P",2013-05-08,"16","30",3,0,"away win REG","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030155","20122013","P",2013-05-10,"30","16",1,5,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030181","20122013","P",2013-05-01,"26","19",1,2,"home win OT","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030182","20122013","P",2013-05-03,"26","19",1,2,"home win REG","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030183","20122013","P",2013-05-05,"19","26",0,1,"home win REG","right","Staples Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012030184","20122013","P",2013-05-07,"19","26",3,4,"home win REG","right","Staples Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012030185","20122013","P",2013-05-09,"26","19",3,2,"away win OT","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030186","20122013","P",2013-05-11,"19","26",1,2,"home win REG","right","Staples Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012030161","20122013","P",2013-05-01,"17","24",1,3,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012030162","20122013","P",2013-05-03,"17","24",5,4,"away win OT","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012030163","20122013","P",2013-05-04,"24","17",4,0,"away win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
